,tenure,paperlessBilling,monthlyCharges,totalCharges,churn,gender,age,phoneService,multipleLines,onlineSecurity,onlineBackup,deviceProtection,techSupport,streamingTV,streamingMovies,paymentMethod_Bank transfer (automatic),paymentMethod_Credit card (automatic),paymentMethod_Electronic check,paymentMethod_Mailed check,internetService_DSL,internetService_Fiber optic,internetService_No
793,7,1,59.5,6.0342845442909105,1,0,35,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
794,12,1,80.45,6.873577827180551,1,1,82,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
795,21,0,71.7,7.317677107807243,0,0,87,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0
796,56,0,65.2,8.203085004727933,0,0,88,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0
797,68,1,109.05,8.911449043223698,0,0,24,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0
798,7,1,64.95,6.121724970942136,0,0,48,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
799,63,0,19.35,7.1066471204940544,0,0,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
800,17,0,21.1,5.885270350701578,0,1,70,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
801,4,0,18.85,4.335982696172475,0,1,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
802,48,1,96.9,8.445095504975807,0,1,40,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0
803,1,1,88.8,4.497584975308154,1,1,59,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0
804,46,1,94.65,8.379056926910456,0,1,32,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0
805,69,0,95.75,8.79599848155535,0,1,71,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0
806,65,1,19.55,7.148149183702874,0,1,87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
807,67,1,50.95,8.135830277733499,0,1,67,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0
808,49,1,20.05,6.891066797695902,0,0,49,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
809,53,1,19.4,6.9365370804075885,0,1,49,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
810,27,0,59.45,7.381595289896156,0,1,27,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0
811,23,1,94.75,7.687194828107095,1,0,82,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
812,69,1,81.5,8.63488733423288,0,1,89,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0
813,35,1,86.45,8.01524471558785,1,0,83,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
814,46,0,70.6,8.085979413285296,0,0,42,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0
815,56,1,65.0,8.200013648175434,1,0,72,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0
816,11,1,75.9,6.72850898870511,0,1,62,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
817,30,1,65.0,7.576097340623111,0,0,53,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
818,38,1,102.6,8.268680548751487,0,1,20,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
819,1,0,43.8,3.8022081394209395,0,0,55,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
820,3,1,69.95,5.351146980192569,0,0,80,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0
821,48,0,24.35,7.064588073008926,0,0,45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
822,68,1,84.4,8.655249331912177,0,0,86,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
823,17,1,45.05,6.6422912150967885,1,1,59,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
824,7,0,20.65,4.980519670191632,0,0,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
825,34,1,109.8,8.225288884531235,1,0,36,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0
826,59,0,65.5,8.259846318760529,0,0,27,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
827,60,1,80.95,8.488382109562117,0,1,81,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
828,1,1,79.1,4.383275854074314,1,1,79,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
829,17,0,65.0,7.00850518208228,0,1,68,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
830,58,0,20.75,7.093819822054926,0,1,66,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
831,1,0,18.8,2.9856819377004897,0,1,43,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
832,53,0,90.8,8.479158974098304,0,0,44,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0
833,50,0,105.95,8.575179040614891,1,1,40,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
834,68,0,70.8,8.479574394509727,0,1,50,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0
835,47,0,65.0,8.024862150286411,0,1,41,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
836,5,1,69.75,5.857218613545591,1,1,68,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
837,51,1,94.65,8.482218650500332,1,1,21,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0
838,46,0,96.05,8.393736591489002,1,0,77,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0
839,8,0,20.25,5.093750200806762,0,0,43,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
840,45,1,115.65,8.557423010635304,0,0,64,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0
841,8,1,74.6,6.393256249849838,0,0,78,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
842,1,1,50.15,3.9347624923976356,1,1,21,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
843,66,1,103.15,8.825985858930707,0,1,83,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
844,41,1,113.6,8.446470252797253,1,0,43,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
845,23,0,25.1,6.360092765164173,0,0,33,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
846,29,1,78.9,7.73591400619796,1,0,64,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
847,4,1,80.15,5.773308537304811,0,0,80,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
848,7,1,45.75,5.77221963620943,0,1,26,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
849,56,1,24.45,7.222711993568799,0,1,21,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
850,23,0,19.6,6.113239604033903,0,1,42,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
851,27,1,70.55,7.55268338227148,0,1,30,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
852,26,1,60.05,7.353914373417857,1,0,50,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
853,12,0,26.4,5.761422254102616,0,1,82,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
854,7,0,58.85,6.023326520256726,0,1,58,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0
855,70,1,97.55,8.829006743442946,0,1,73,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
856,39,1,25.25,6.893402772757737,0,1,34,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
857,72,0,65.0,8.45126704130007,0,1,39,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
858,54,1,70.7,8.247691516123878,0,1,36,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0
859,3,1,85.3,5.548686904115838,1,1,42,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
860,71,1,84.8,8.703141496932542,0,1,83,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
861,47,0,20.45,6.869170363666568,0,1,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
862,30,1,69.1,7.637234388789473,0,1,51,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0
863,71,1,24.4,7.457840076700244,0,0,41,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
864,68,0,76.75,8.560252680876685,0,1,48,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0
865,8,1,65.0,6.255750041753367,0,1,73,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
866,72,0,19.7,7.257989526090882,0,1,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
867,17,0,19.9,5.826884671790184,0,0,78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
868,3,1,107.95,5.78336353732654,0,1,84,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0
869,2,1,83.8,5.127529045567755,0,0,71,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
870,3,0,94.9,5.654942309236728,0,0,44,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0
871,31,1,71.05,7.697824975197735,0,1,72,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0
872,64,0,89.45,8.652737556651264,0,1,64,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0
873,1,1,59.85,4.108411819433536,1,1,61,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
874,1,1,69.6,4.257030144499196,1,0,68,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
875,1,0,19.05,2.998229153752578,0,1,78,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
876,9,1,45.4,6.015181073725298,1,1,70,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
877,72,0,114.45,9.016925511384274,0,1,35,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
878,66,1,90.55,8.695724239968873,0,0,25,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0
879,1,1,69.9,4.2612704335380815,1,1,45,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
880,56,1,19.8,7.011935097891801,0,0,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
881,72,1,116.45,9.03424737735325,0,0,74,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
882,3,1,84.75,5.5422434570447745,1,0,86,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
883,54,0,20.05,6.98813639092895,0,0,61,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
884,50,1,89.7,8.408716715080153,0,0,73,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0
885,72,1,96.6,8.84738862721725,0,0,75,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
886,62,1,74.3,8.435462393052351,0,1,29,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0
887,12,1,54.3,6.48096438415922,0,0,38,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
888,44,0,65.0,7.95892649305011,0,0,28,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
889,68,0,20.05,7.21847005054449,0,0,56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
890,2,1,45.4,4.519612297626445,0,0,76,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
891,63,0,75.7,8.470122548023225,0,1,85,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0
892,58,1,110.65,8.766970883967852,0,0,57,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0
893,63,0,58.55,8.213286881587427,0,0,51,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
894,71,1,93.25,8.798114964449802,0,1,80,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0
895,41,1,113.2,8.442943670783464,1,0,38,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0
896,13,1,90.5,7.071148825890573,1,1,78,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
897,2,0,79.0,5.0689042022202315,1,1,62,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
898,68,1,19.35,7.1829598299228055,0,0,32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
899,1,1,65.0,4.189654742026425,0,1,53,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
900,65,1,109.05,8.866334831138113,0,1,75,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0
901,28,1,54.9,7.338368180622953,0,0,38,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
902,72,0,24.75,7.48605261786314,0,1,37,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
903,2,1,91.15,5.21112415484566,0,0,42,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0
904,18,0,20.15,5.896329351992943,1,0,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
905,26,1,66.05,7.449090708952699,0,0,31,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0
906,1,1,71.65,4.285653390016292,1,1,87,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
907,4,0,20.35,4.411585436915426,1,0,85,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
908,68,1,92.2,8.743627322828512,0,1,52,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
909,38,1,84.25,8.071687033770889,1,0,62,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0
910,72,0,24.75,7.48605261786314,0,1,28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
911,71,0,91.05,8.774243361059959,0,0,42,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
912,23,1,73.65,7.435408520854387,0,0,53,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0
913,10,1,98.7,6.895682697747868,1,0,71,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0
914,1,1,43.85,3.803323588504805,0,1,75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
915,22,1,69.7,7.335894704129174,0,1,56,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
916,34,0,65.0,7.701200180857446,0,0,50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
917,32,1,85.0,7.908754738783246,1,1,82,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
918,23,1,79.35,7.509910443036325,0,0,61,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
919,17,1,96.65,7.404917988778944,0,1,36,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0
920,1,1,75.5,4.33729074083249,0,1,58,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0
921,72,0,98.35,8.865339872883087,0,1,34,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0
922,6,0,45.65,5.6164073951712,0,0,76,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
923,19,1,73.85,7.247187416485863,1,1,48,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
924,32,1,54.2,7.458993213359389,0,0,68,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
925,65,1,65.0,8.349011198176003,0,1,67,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
926,42,0,25.05,6.9594934743865515,0,1,59,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
927,22,1,63.55,7.24358445173924,0,0,60,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
928,57,1,44.85,7.84676594729254,1,1,49,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
929,1,0,47.95,3.8907993689765195,0,1,24,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
930,54,1,90.05,8.489554744112281,0,1,83,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
931,4,1,25.3,4.626931677769604,0,0,80,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
932,65,0,108.65,8.862660564506704,1,1,44,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0
933,71,0,65.0,8.437283808187935,0,0,22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
934,59,0,66.4,8.273489726136667,0,1,25,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0
935,55,0,19.4,6.97354301952014,0,0,33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
936,38,0,19.3,6.599053839306281,0,0,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
937,10,1,45.55,6.1235887000350235,1,1,73,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
938,1,1,65.0,4.189654742026425,1,1,26,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
939,38,1,57.15,7.683725912741195,1,0,56,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
940,71,0,19.45,7.231250824223051,0,1,68,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
941,52,1,50.5,7.87359778968554,0,0,24,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
942,26,0,60.7,7.364673668679218,0,0,76,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
943,3,0,83.75,5.530420659233719,1,0,87,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
944,1,1,65.0,4.189654742026425,0,1,31,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
945,72,0,24.1,7.459454095957708,0,1,87,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
946,1,1,45.55,3.840527003723076,0,1,53,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
947,51,1,93.8,8.473199505730348,0,0,31,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0
948,41,0,65.0,7.888334500738654,0,0,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
949,72,1,70.65,8.53460079607127,0,0,77,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0
950,72,1,114.1,9.013863094057976,0,1,89,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
951,47,1,95.2,8.406351012189173,0,1,25,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0
952,72,0,88.55,8.760390318928474,0,1,67,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
953,3,1,20.75,4.1470951276076295,0,1,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
954,1,1,70.05,4.263383854543109,1,1,40,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
955,29,1,60.2,7.465540821611406,0,1,25,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
956,67,1,60.4,8.305928802632105,0,1,84,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0
957,16,0,72.65,7.0591020314766615,1,0,75,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
958,14,1,31.1,6.0785592539589155,0,1,37,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
959,1,1,21.0,3.091042453358316,1,0,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
960,1,0,45.1,3.8308129500026027,1,0,83,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
961,4,1,50.95,5.322033893165353,0,1,38,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
962,16,1,69.1,7.009047530464009,0,1,68,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0
963,68,1,86.5,8.679822114864455,0,1,68,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
964,38,0,69.95,7.8857429986592065,0,1,71,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
965,30,1,50.4,7.321849713788356,1,1,61,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
966,17,1,90.95,7.344169807734237,0,1,24,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0
967,72,1,90.6,8.783273619310258,0,1,25,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
968,3,1,92.0,5.6240175061873385,0,1,87,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
969,40,0,36.0,7.273092595999522,0,1,30,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
970,69,0,19.95,7.22806183800898,0,1,68,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
971,7,0,20.65,4.980519670191632,0,1,54,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
972,5,1,30.5,5.033700567027251,0,0,57,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
973,44,1,20.5,6.805722553416985,0,1,74,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
974,3,0,64.6,5.271973391208435,0,0,80,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0
975,44,1,84.8,8.224753151099371,1,0,25,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0
976,72,0,89.1,8.766581321130337,0,0,69,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
977,24,0,54.95,7.1852354889493215,0,1,79,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
978,22,0,85.35,7.538335327273253,0,0,54,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
979,31,1,19.55,6.408611159989984,1,0,72,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
980,1,1,81.05,4.4073288175361,0,1,31,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
981,53,1,111.8,8.687172225011805,0,0,56,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
982,1,0,20.2,3.054001181677967,0,1,85,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
983,3,1,79.1,5.473530384104697,1,0,26,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
984,51,1,19.85,6.9210169529653225,0,0,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
985,51,1,60.5,8.03479304183395,0,0,21,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0
986,13,0,19.55,5.54185160750998,0,0,88,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
987,1,0,20.9,3.086486636822455,0,0,78,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
988,46,0,19.2,6.784683281392143,0,1,49,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
989,71,0,20.5,7.283791576399489,0,0,69,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
990,55,1,90.4,8.511778558714738,0,1,23,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0
991,2,0,80.75,5.090678001769792,1,0,43,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
992,67,0,104.6,8.854978850834264,0,1,77,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0
993,65,1,91.85,8.694711564704171,1,1,72,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
994,14,0,50.2,6.5564942248874845,0,1,68,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
995,20,1,95.5,7.555381944240273,0,0,64,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0
996,1,1,75.45,4.336636932375072,1,1,38,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
997,72,1,101.3,8.894889627376788,0,0,55,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0
998,46,0,53.1,7.801227640775612,0,0,78,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
999,24,1,84.85,7.619429764155966,0,1,52,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0
1000,8,0,70.7,6.339653587396416,0,1,23,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1001,66,1,54.8,8.193621385267534,0,1,65,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
1002,24,1,49.55,7.081876639210751,1,1,61,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1003,24,0,54.8,7.182504076022019,0,1,30,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
1004,69,1,78.6,8.59866257321379,1,1,44,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0
1005,53,1,100.3,8.578645705729203,0,0,65,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0
1006,20,1,65.0,7.170888478512505,0,0,44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1007,23,0,85.6,7.585687293735602,0,0,46,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1008,72,1,65.0,8.45126704130007,0,1,84,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0
1009,11,1,74.95,6.715928692173877,1,1,73,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1010,1,1,93.55,4.549128795104466,1,1,43,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0
1011,57,0,69.75,8.28822018177847,0,0,31,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0
1012,45,1,20.0,6.803505257608338,0,0,88,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1013,10,1,95.25,6.860139425040474,0,1,28,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0
1014,14,0,19.95,5.635860458170742,0,1,72,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1015,14,1,90.9,7.149602815090119,1,0,21,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
1016,12,0,29.2,5.861925175752996,1,0,80,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1017,25,1,89.15,7.709644750546317,1,0,54,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0
1018,16,1,84.75,7.213031659834869,1,0,26,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1019,45,0,78.75,8.173222914617668,0,1,81,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
1020,17,1,83.55,7.25936240318762,0,0,55,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1021,22,0,19.6,6.068888444072786,0,1,72,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1022,1,1,69.95,4.261975403606051,1,0,32,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1023,23,1,74.95,7.452895369162784,1,1,33,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1024,9,0,75.5,6.522827822091521,0,0,87,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1025,54,0,65.0,8.163656176168432,0,1,38,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
1026,4,1,87.1,5.8562173976999565,1,0,43,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
1027,70,1,79.25,8.621282899940619,0,1,60,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0
1028,5,1,75.9,5.941486177301741,1,1,60,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1029,53,0,85.7,8.421364877403564,0,1,39,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0
1030,31,0,20.1,6.436310611939997,0,0,83,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1031,13,0,61.8,6.690096657898497,0,1,61,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0
1032,10,0,86.45,6.7633073746162635,1,0,73,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1033,38,0,20.4,6.654410218934806,0,1,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1034,1,1,45.3,3.835141961092188,1,0,64,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1035,67,0,104.1,8.850187960076935,1,1,64,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
1036,62,0,108.15,8.810802662082809,0,1,48,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0
1037,16,1,86.25,7.2305631534092925,0,0,35,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1038,12,0,95.7,7.046995346073642,0,1,52,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0
1039,72,1,65.0,8.45126704130007,0,0,59,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
1040,71,0,65.0,8.437283808187935,0,1,72,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0
1041,15,0,65.0,6.883462586413092,0,0,57,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1042,2,0,60.95,4.811371016571989,0,1,61,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
1043,5,0,25.05,4.838264068155469,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1044,1,1,70.6,4.2710950739666,0,0,87,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1045,22,1,79.35,7.465483572434347,1,1,49,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
1046,71,0,90.55,8.768737593251199,0,1,60,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
